,record_id,month,day,year,plot_id,species_id,sex,weight,genus,species,taxa,Control,Long-term Krat Exclosure,Rodent Exclosure,Short-term Krat Exclosure,Spectab exclosure
1,1,7,16,1977,2,NL,M,NA,Neotoma,albigula,Rodent,32,NA,NA,NA,NA
2,72,8,19,1977,2,NL,M,NA,Neotoma,albigula,Rodent,31,NA,NA,NA,NA
3,224,9,13,1977,2,NL,,NA,Neotoma,albigula,Rodent,NA,NA,NA,NA,NA
4,266,10,16,1977,2,NL,,NA,Neotoma,albigula,Rodent,NA,NA,NA,NA,NA
5,349,11,12,1977,2,NL,,NA,Neotoma,albigula,Rodent,NA,NA,NA,NA,NA
6,363,11,12,1977,2,NL,,NA,Neotoma,albigula,Rodent,NA,NA,NA,NA,NA
7,435,12,10,1977,2,NL,,NA,Neotoma,albigula,Rodent,NA,NA,NA,NA,NA
8,506,1,8,78,2,NL,,NA,Neotoma,albigula,Rodent,NA,missing,NA,NA,NA
9,588,2,18,78,2,NL,M,218,Neotoma,albigula,Rodent,NA,NA,NA,NA,NA
10,661,3,11,78,2,NL,,NA,Neotoma,albigula,Rodent,NA,NA,NA,NA,NA
11,748,4,8,78,2,NL,,NA,Neotoma,albigula,Rodent,NA,NA,NA,NA,NA
12,845,5,6,78,2,NL,M,204,Neotoma,albigula,Rodent,32,NA,NA,missing,NA
13,990,6,9,78,2,NL,M,200,Neotoma,albigula,Rodent,NA,NA,NA,NA,NA
14,1164,8,5,78,2,NL,M,199,Neotoma,albigula,Rodent,34,NA,NA,NA,NA
15,1261,9,4,78,2,NL,M,197,Neotoma,albigula,Rodent,32,NA,NA,NA,NA
16,1374,10,8,78,2,NL,,NA,Neotoma,albigula,Rodent,NA,NA,missing ,NA,NA
17,1453,11,5,78,2,NL,M,218,Neotoma,albigula,Rodent,NA,NA,NA,NA,NA
18,1756,4,29,1979,2,NL,M,166,Neotoma,albigula,Rodent,33,NA,NA,NA,NA
19,1818,5,30,1979,2,NL,M,184,Neotoma,albigula,Rodent,32,NA,NA,NA,NA
20,1882,7,4,1979,2,NL,male,206,Neotoma,albigula,Rodent,32,0,NA,NA,NA
21,2133,10,25,1979,2,NL,F,274,Neotoma,albigula,Rodent,33,0,NA,NA,NA
22,2184,11,17,1979,2,NL,F,186,Neotoma,albigula,Rodent,30,0,NA,NA,NA
23,2406,1,16,1980,2,NL,F,184,Neotoma,albigula,Rodent,33,0,NA,NA,NA
24,2728,3,9,1980,2,NL,female,NA,Neotoma,albigula,Rodent,NA,0,NA,NA,NA
25,3000,5,18,1980,2,NL,F,87,Neotoma,albigula,Rodent,31,NA,NA,NA,NA
26,3002,5,18,1980,2,NL,female ,174,Neotoma,albigula,Rodent,33,NA,NA,NA,NA
27,4667,7,8,1981,2,NL,F,130,Neotoma,albigula,Rodent,30,NA,NA,NA,NA
28,4859,10,1,1981,2,NL,M,208,Neotoma,albigula,Rodent,34,NA,NA,NA,NA
29,5048,11,23,1981,2,NL,M,192,Neotoma,albigula,Rodent,34,NA,NA,NA,NA
30,5180,1,1,1982,2,NL,M,206,Neotoma,albigula,Rodent,NA,NA,NA,NA,NA
